year,month,day,airline,flight_number,origin_airport,destination_airport,departure_delay,arrival_delay,flight_duration
2022,11,13,AirlineD,4456,JFK,MSP,91,517,51
2023,12,20,AirlineA,4119,JFK,DEN,336,484,153
2022,11,10,AirlineE,5557,DFW,CLT,360,374,76
2022,3,18,AirlineB,2584,IAH,BOS,117,275,708
2022,1,18,AirlineE,6635,LAX,MIA,-25,556,655
2022,9,18,AirlineA,5386,ATL,LAS,186,392,706
2023,3,6,AirlineB,8428,DFW,SEA,87,155,625
2021,9,15,AirlineE,9928,DFW,DEN,226,70,247
2023,10,16,AirlineC,5304,ORD,SEA,72,261,679
2021,4,11,AirlineD,6573,PHX,BOS,568,126,624
2023,6,26,AirlineC,9669,ORD,MIA,290,222,271
2023,12,21,AirlineD,5422,PHX,SFO,309,461,518
2022,6,25,AirlineC,3927,LAX,SFO,591,53,332
2021,9,7,AirlineC,9834,LAX,DEN,-11,489,691
2021,10,19,AirlineD,8062,ATL,MIA,534,236,601
2023,8,21,AirlineB,7543,IAH,SEA,573,267,182
2022,9,17,AirlineA,2796,PHX,MIA,214,598,214
2023,3,15,AirlineB,6925,ORD,CLT,337,11,269
2022,4,3,AirlineC,6930,ATL,MIA,181,500,414
2022,8,15,AirlineA,1520,PHX,DEN,503,250,314
2023,9,19,AirlineB,3266,IAH,LAS,571,49,574
2022,7,8,AirlineE,3621,PHX,LAS,468,463,663
2021,9,5,AirlineD,7201,ATL,DEN,496,257,261
2021,3,6,AirlineC,5342,LAX,SEA,394,308,161
2022,11,16,AirlineD,2654,ORD,MSP,-8,219,89
2021,10,19,AirlineB,2584,JFK,SFO,27,140,309
2021,9,13,AirlineE,4946,JFK,BOS,57,191,504
2023,8,28,AirlineD,2291,ATL,MSP,585,116,641
2021,10,22,AirlineE,3677,ORD,LAS,434,580,649
2021,4,13,AirlineD,7224,LAX,MIA,177,505,561
2023,7,27,AirlineB,9645,LAX,SFO,457,599,659
2021,9,17,AirlineA,1106,SLC,SFO,587,522,46
2023,11,14,AirlineE,7252,PHX,MIA,512,409,279
2022,7,12,AirlineE,8744,LAX,MSP,107,230,533
2021,2,10,AirlineE,2832,IAH,BOS,163,-25,52
2023,9,4,AirlineE,1409,IAH,SEA,293,388,415
2021,3,14,AirlineE,3803,DFW,MSP,548,344,671
2022,11,13,AirlineB,2040,SLC,SFO,349,542,613
2022,5,10,AirlineE,3287,IAH,SFO,91,205,502
2023,3,4,AirlineB,3504,IAH,LAS,533,598,98
2021,7,21,AirlineA,1106,ORD,CLT,584,415,135
2021,5,8,AirlineC,4611,JFK,MSP,380,598,716
2023,5,23,AirlineE,4811,ORD,CLT,419,-20,251
2023,9,10,AirlineB,2424,ATL,SFO,6,338,289
2023,1,6,AirlineA,5422,IAH,LAS,374,385,645
2021,9,1,AirlineA,1106,DFW,LAS,325,253,276
2023,4,15,AirlineD,8962,JFK,BOS,149,386,563
2021,9,3,AirlineE,1525,PHX,DEN,495,233,595
2023,5,23,AirlineD,3266,SLC,SEA,317,439,516
2023,1,16,AirlineA,5010,LAX,MSP,195,205,368
2022,6,17,AirlineE,5506,DFW,SEA,264,65,453
2023,12,27,AirlineC,7873,ORD,CLT,291,332,268
2023,5,6,AirlineB,5889,ATL,SEA,217,241,256
2021,4,27,AirlineB,9835,PHX,SFO,79,92,125
2023,11,16,AirlineE,1409,JFK,CLT,350,292,549
2023,5,16,AirlineB,2588,DFW,MSP,197,560,176
2021,9,26,AirlineD,5315,JFK,LAS,373,148,513
2021,12,17,AirlineD,4456,JFK,MIA,185,358,639
2021,6,12,AirlineE,5010,ORD,BOS,212,245,527
2023,6,12,AirlineB,5889,IAH,SEA,399,351,418
2022,5,15,AirlineB,2403,ORD,SEA,72,246,286
2023,7,28,AirlineD,5741,ORD,SFO,454,-21,225
2022,8,5,AirlineE,6310,PHX,CLT,277,226,620
2023,1,13,AirlineA,1964,ORD,MIA,190,230,532
2023,2,15,AirlineC,5010,PHX,LAS,543,540,308
2022,1,14,AirlineA,5040,ATL,SFO,261,333,377
2023,9,16,AirlineD,4611,IAH,BOS,444,118,216
2023,6,14,AirlineE,2403,IAH,DEN,51,135,396
2021,6,11,AirlineC,2160,DFW,MSP,247,425,416
2023,10,17,AirlineD,2040,ORD,SFO,-7,98,285
2023,5,24,AirlineA,2654,ORD,MSP,75,67,110
2022,9,2,AirlineA,6804,IAH,DEN,76,238,677
2021,2,21,AirlineD,2084,ATL,SEA,260,423,686
2021,3,17,AirlineB,9935,JFK,LAS,303,457,523
2023,5,18,AirlineD,2584,ORD,CLT,547,415,581
2023,11,18,AirlineC,3287,SLC,SEA,61,422,360
2022,7,9,AirlineB,7572,JFK,MIA,505,109,397
2022,8,18,AirlineA,1964,SLC,CLT,276,-21,485
2022,10,8,AirlineA,6947,PHX,SEA,391,544,492
2022,4,6,AirlineD,3266,ATL,BOS,51,402,685
2021,9,25,AirlineE,4750,DFW,BOS,514,245,467
2021,2,6,AirlineB,4752,LAX,CLT,433,248,682
2022,4,11,AirlineA,1711,JFK,MIA,160,74,333
2022,3,23,AirlineD,4510,JFK,SEA,62,124,60
2022,4,11,AirlineD,2084,SLC,LAS,444,2,383
2021,3,2,AirlineC,7939,IAH,DEN,526,451,230
2021,5,27,AirlineD,5012,LAX,SEA,364,423,298
2023,1,7,AirlineD,3167,LAX,SEA,454,368,364
2022,3,21,AirlineA,4981,LAX,BOS,462,275,248
2022,1,28,AirlineB,3547,ATL,MSP,302,-15,216
2022,10,4,AirlineD,5374,JFK,MIA,565,456,655
2021,6,25,AirlineA,2169,ORD,CLT,63,316,685
2021,1,12,AirlineB,1514,LAX,SFO,469,208,369
2023,11,25,AirlineC,2876,ATL,MIA,356,336,182
2022,1,16,AirlineD,1949,DFW,CLT,164,550,236
2023,6,11,AirlineD,5422,ORD,DEN,513,128,505
2022,5,18,AirlineC,2827,JFK,MSP,159,-11,679
2022,10,8,AirlineC,5562,LAX,MSP,164,506,554
2023,3,20,AirlineC,4483,IAH,LAS,83,68,580
2023,2,2,AirlineB,6925,JFK,SEA,79,467,241
2021,1,19,AirlineD,4681,SLC,BOS,20,345,271
2023,12,3,AirlineA,2654,SLC,DEN,449,32,414
2023,12,14,AirlineC,2160,JFK,BOS,511,11,117
2022,2,7,AirlineE,3615,LAX,SEA,514,364,239
2021,9,22,AirlineB,2290,ORD,MSP,78,560,411
2023,8,23,AirlineD,6574,ORD,SFO,533,381,561
2022,11,6,AirlineE,3705,SLC,LAS,292,533,377
2022,7,25,AirlineD,8953,PHX,SEA,546,528,264
2022,9,24,AirlineC,8019,SLC,CLT,376,-30,80
2022,10,1,AirlineE,2584,DFW,MIA,277,197,264
2022,1,25,AirlineC,6038,ORD,DEN,8,441,409
2021,3,9,AirlineC,9727,ATL,SEA,232,277,139
2023,7,19,AirlineB,9834,LAX,LAS,464,147,544
2023,12,19,AirlineA,8787,DFW,MIA,560,360,125
2021,6,12,AirlineD,7304,LAX,SEA,586,-19,694
2023,7,2,AirlineC,9689,JFK,LAS,522,548,198
2022,9,23,AirlineB,8527,JFK,MSP,426,579,634
2023,2,8,AirlineD,4752,IAH,SFO,105,314,129
2022,10,24,AirlineA,6947,IAH,BOS,57,378,558
2022,12,5,AirlineB,9201,ATL,CLT,374,555,245
2023,10,24,AirlineE,2169,ATL,DEN,242,410,376
2023,10,3,AirlineA,1344,IAH,MSP,344,326,240
2022,6,20,AirlineA,6804,DFW,SFO,328,422,683
2021,8,2,AirlineB,2307,PHX,SFO,57,85,100
2021,10,5,AirlineC,5012,PHX,DEN,282,430,527
2021,6,7,AirlineE,7227,ATL,BOS,531,464,682
2023,3,23,AirlineA,3266,JFK,BOS,144,31,335
2021,12,20,AirlineC,4582,SLC,MIA,38,367,322
2023,11,12,AirlineA,4657,DFW,MSP,206,359,565
2023,2,11,AirlineD,8787,LAX,SFO,173,482,513
2023,12,1,AirlineA,2169,DFW,LAS,471,372,205
2021,6,22,AirlineC,9830,DFW,SEA,483,252,108
2023,5,13,AirlineA,4923,DFW,SEA,125,319,447
2023,3,3,AirlineD,9837,ATL,MSP,216,556,201
2022,5,20,AirlineC,5371,ORD,SEA,111,564,599
2023,4,28,AirlineB,2084,ORD,MSP,118,548,206
2022,2,18,AirlineE,5562,LAX,SFO,295,119,75
2022,7,14,AirlineC,9797,DFW,SFO,162,79,179
2021,1,25,AirlineE,4470,DFW,SEA,580,207,281
2023,1,12,AirlineA,1964,SLC,SFO,484,589,525
2023,11,12,AirlineB,2489,SLC,CLT,110,137,242
2021,1,14,AirlineA,7216,IAH,SEA,177,179,112
2021,8,28,AirlineE,9317,PHX,CLT,222,407,459
2021,10,24,AirlineD,5562,PHX,MSP,596,555,653
2023,9,21,AirlineA,9837,LAX,CLT,437,13,296
2023,9,13,AirlineA,4923,IAH,MIA,164,268,495
2022,5,25,AirlineC,8123,ORD,MSP,271,597,100
2023,9,5,AirlineD,8397,SLC,DEN,482,85,229
2023,12,18,AirlineB,1771,IAH,LAS,431,-5,228
2022,10,23,AirlineB,2827,LAX,BOS,301,137,171
2021,2,23,AirlineD,7118,PHX,DEN,506,363,568
2023,3,13,AirlineE,9348,JFK,SFO,313,549,720
2021,3,28,AirlineB,6925,JFK,MSP,285,286,501
2022,11,6,AirlineA,7224,ATL,MIA,229,-18,514
2022,8,18,AirlineA,9645,SLC,SEA,192,572,720
2022,8,14,AirlineD,4611,JFK,SEA,530,254,679
2023,9,27,AirlineB,2535,ORD,SFO,26,327,82
2021,1,22,AirlineE,5342,DFW,LAS,59,20,156
2022,3,6,AirlineC,7932,ORD,CLT,562,338,81
2021,5,11,AirlineC,9348,LAX,MSP,533,36,344
2022,3,4,AirlineC,7482,IAH,SEA,184,596,104
2021,10,24,AirlineE,5557,SLC,BOS,407,593,369
2022,9,19,AirlineE,9830,ORD,CLT,502,479,549
2021,10,8,AirlineC,4733,JFK,DEN,-6,446,685
2021,12,28,AirlineB,4470,IAH,MSP,16,311,403
2023,11,7,AirlineA,8177,ATL,BOS,230,39,360
2022,9,18,AirlineC,8062,JFK,DEN,311,319,450
2023,10,20,AirlineA,5803,ATL,LAS,316,460,530
2021,11,5,AirlineD,8527,SLC,LAS,443,393,102
2023,5,19,AirlineC,4923,JFK,SEA,561,309,407
2021,3,9,AirlineA,3340,IAH,SFO,554,590,443
2021,10,4,AirlineC,6413,PHX,MIA,248,393,133
2022,4,12,AirlineD,7572,ATL,BOS,149,84,428
2021,4,3,AirlineD,4258,JFK,CLT,482,127,239
2022,8,24,AirlineE,2084,PHX,SFO,70,498,180
2021,12,2,AirlineD,2489,LAX,MIA,288,15,653
2021,6,15,AirlineA,6574,DFW,MIA,561,289,699
2021,6,7,AirlineB,1916,DFW,LAS,421,90,324
2021,3,9,AirlineA,5012,LAX,SEA,525,328,607
2022,5,5,AirlineC,2403,ATL,SFO,42,288,672
2022,9,15,AirlineA,7224,JFK,CLT,21,78,437
2021,2,14,AirlineD,6925,SLC,LAS,289,310,247
2023,11,26,AirlineE,4611,SLC,SFO,65,449,144
2022,5,22,AirlineD,8433,ATL,SEA,117,234,417
2022,3,23,AirlineC,9179,SLC,CLT,0,36,531
2021,6,16,AirlineD,2291,DFW,LAS,588,558,175
2023,2,13,AirlineA,9179,LAX,BOS,515,442,455
2023,7,8,AirlineE,5374,ORD,CLT,363,37,393
2021,12,19,AirlineD,1188,PHX,SEA,147,49,632
2022,2,19,AirlineE,8123,PHX,DEN,425,150,360
2022,2,20,AirlineA,2163,IAH,LAS,476,32,137
2021,3,19,AirlineA,4119,ORD,SFO,433,514,343
2022,10,19,AirlineD,5741,ATL,LAS,276,553,356
2022,12,12,AirlineA,9727,JFK,MSP,100,271,108
2022,9,2,AirlineA,6413,PHX,DEN,258,1,285
2022,12,19,AirlineD,6107,PHX,MSP,385,360,490
2023,4,22,AirlineB,1053,ORD,SEA,538,363,413
2022,3,10,AirlineB,2584,JFK,DEN,-14,117,543
2023,7,5,AirlineA,6881,IAH,CLT,588,405,683
2021,8,17,AirlineD,6038,SLC,MSP,333,201,235
2022,10,1,AirlineE,5889,ATL,BOS,390,529,635
2022,1,2,AirlineE,9201,PHX,DEN,564,463,126
2021,12,24,AirlineE,7669,DFW,CLT,499,50,580
2023,2,8,AirlineD,7537,LAX,BOS,597,24,396
2023,1,16,AirlineD,7126,SLC,LAS,401,331,346
2022,3,2,AirlineE,8749,DFW,BOS,32,454,637
2021,10,2,AirlineC,3167,JFK,BOS,466,54,174
2023,2,28,AirlineC,3803,ORD,BOS,251,233,59
2023,2,20,AirlineB,3103,ORD,CLT,348,149,312
2023,4,16,AirlineB,1009,JFK,LAS,56,118,654
2021,8,25,AirlineD,6804,IAH,SEA,420,141,260
2023,12,27,AirlineC,4582,DFW,DEN,23,141,520
2022,8,10,AirlineD,8749,ATL,MSP,369,455,313
2021,9,28,AirlineD,5012,DFW,CLT,361,293,587
2023,1,4,AirlineE,8177,PHX,MSP,595,249,388
2022,5,26,AirlineA,9751,IAH,CLT,217,572,244
2023,6,22,AirlineB,4456,JFK,MIA,39,-18,466
2021,9,4,AirlineD,5040,ATL,BOS,227,167,79
2021,10,3,AirlineA,8787,ATL,DEN,92,58,664
2021,7,22,AirlineE,2139,LAX,SFO,229,271,523
2023,2,21,AirlineD,5422,IAH,LAS,233,135,120
2022,1,13,AirlineD,8517,JFK,BOS,241,152,496
2021,8,7,AirlineE,1771,ORD,CLT,81,117,598
2022,4,20,AirlineA,9797,DFW,DEN,5,44,117
2023,12,9,AirlineD,4657,SLC,SFO,-30,8,444
2022,3,23,AirlineC,1771,JFK,CLT,459,416,458
2023,2,18,AirlineB,2824,IAH,CLT,94,550,593
2022,6,22,AirlineC,3504,JFK,DEN,344,517,393
2021,8,25,AirlineC,8397,ATL,SFO,537,10,438
2023,4,10,AirlineD,5552,PHX,CLT,56,418,239
2021,1,7,AirlineA,5562,ATL,CLT,368,34,598
2023,5,16,AirlineE,6573,JFK,MIA,317,27,390
2023,1,13,AirlineA,7227,SLC,SFO,563,208,118
2021,12,5,AirlineD,5061,JFK,CLT,16,218,709
2021,1,6,AirlineA,5386,LAX,CLT,595,144,650
2021,2,4,AirlineD,8787,ATL,DEN,177,406,390
2023,11,13,AirlineC,6514,ORD,LAS,188,16,652
2021,6,3,AirlineA,5422,ORD,MSP,142,348,611
2021,8,8,AirlineE,1520,ORD,DEN,597,355,206
2021,8,3,AirlineA,1409,ORD,DEN,577,260,471
2023,8,23,AirlineB,4814,ORD,BOS,505,431,466
2021,3,20,AirlineA,8787,ORD,CLT,596,60,687
2022,6,14,AirlineA,4923,ATL,SEA,90,512,142
2023,6,28,AirlineE,4258,ATL,CLT,183,253,99
2021,2,26,AirlineB,2163,SLC,CLT,150,133,89
2021,11,12,AirlineC,2654,IAH,BOS,312,434,89
2021,12,2,AirlineE,6925,ORD,MIA,466,497,163
2021,4,24,AirlineD,3103,PHX,MSP,173,303,280
2021,6,8,AirlineA,6820,IAH,SEA,354,195,120
2022,10,16,AirlineA,1188,ORD,SEA,594,435,227
2022,6,5,AirlineD,5562,ATL,LAS,246,177,388
2021,1,23,AirlineE,9279,DFW,SFO,83,446,514
2022,3,25,AirlineC,8428,DFW,SFO,596,144,636
2023,4,3,AirlineD,9837,SLC,SEA,575,454,518
2022,1,24,AirlineD,3167,ATL,SEA,305,414,638
2021,10,5,AirlineE,1409,IAH,MIA,11,451,561
2021,7,17,AirlineD,5315,LAX,CLT,477,216,130
2023,1,23,AirlineD,5554,ORD,LAS,272,214,708
2021,1,16,AirlineC,3045,SLC,MIA,435,444,186
2023,7,6,AirlineC,6107,SLC,MIA,42,364,385
2023,1,10,AirlineD,7669,DFW,SEA,52,313,101
2023,11,12,AirlineA,3547,IAH,LAS,446,11,419
2022,3,21,AirlineE,6413,LAX,SEA,111,312,289
2023,2,21,AirlineD,3167,ATL,SEA,298,331,318
2023,11,14,AirlineC,4582,LAX,LAS,323,433,542
2023,9,27,AirlineA,8433,DFW,CLT,346,37,237
2022,2,3,AirlineD,6925,DFW,DEN,81,138,327
2021,12,5,AirlineD,1711,ATL,MIA,270,396,599
2021,8,12,AirlineD,9797,JFK,BOS,163,34,67
2021,9,21,AirlineC,2040,PHX,LAS,467,577,587
2023,8,15,AirlineC,2290,ORD,BOS,145,236,277
2022,6,10,AirlineA,5333,PHX,BOS,436,140,678
2021,12,18,AirlineC,4150,ORD,SFO,135,213,164
2021,6,19,AirlineB,2876,DFW,LAS,158,180,620
2023,1,22,AirlineC,3287,ORD,LAS,429,522,211
2023,5,4,AirlineA,3621,SLC,SFO,439,297,204
2021,12,18,AirlineE,7482,DFW,CLT,266,557,195
2023,12,15,AirlineC,1964,LAX,CLT,11,112,609
2021,5,1,AirlineD,9835,ATL,CLT,335,64,379
2021,10,21,AirlineB,9727,ATL,BOS,170,-7,130
2023,8,22,AirlineA,7126,IAH,SEA,472,295,662
2023,9,2,AirlineC,2796,ORD,MSP,348,365,426
2021,5,12,AirlineC,5386,SLC,DEN,190,424,470
2022,5,6,AirlineD,4510,IAH,SFO,571,582,133
2021,4,10,AirlineD,9689,PHX,DEN,574,354,135
2021,7,21,AirlineC,7304,ORD,CLT,551,110,249
2021,7,10,AirlineE,9317,JFK,BOS,569,281,550
2023,12,15,AirlineB,2679,JFK,SFO,238,277,700
2023,8,4,AirlineC,7304,ORD,CLT,220,-1,167
2022,8,3,AirlineE,4981,PHX,CLT,549,416,309
2023,11,16,AirlineA,4593,JFK,BOS,136,565,104
2021,6,15,AirlineB,5304,ORD,MIA,249,339,474
2023,6,2,AirlineC,4752,LAX,SEA,157,66,658
2021,9,11,AirlineC,2163,DFW,BOS,341,68,592
2023,6,27,AirlineB,5012,ORD,BOS,351,466,466
2022,3,4,AirlineB,8527,ATL,SEA,542,598,583
2023,12,18,AirlineA,7304,SLC,DEN,89,104,62
2022,6,10,AirlineC,6881,SLC,LAS,146,281,74
2023,2,8,AirlineB,4750,ORD,SEA,284,98,259
2021,2,14,AirlineA,7873,JFK,CLT,411,13,246
2021,1,26,AirlineE,3103,JFK,CLT,91,229,89
2021,5,22,AirlineA,4119,LAX,DEN,586,180,646
2021,3,22,AirlineC,9935,LAX,SFO,254,563,401
2022,3,28,AirlineE,7735,ATL,DEN,71,562,59
2023,4,23,AirlineB,6313,ORD,MIA,71,189,561
2023,8,12,AirlineE,2139,SLC,DEN,155,333,433
2022,4,17,AirlineB,7916,LAX,LAS,96,447,157
2023,3,16,AirlineC,6413,DFW,MIA,54,305,550
2021,7,10,AirlineD,3705,DFW,CLT,201,537,462
2022,7,7,AirlineA,1053,PHX,SFO,-17,473,152
2022,8,17,AirlineA,6514,ORD,MSP,380,574,149
2023,3,3,AirlineC,5741,PHX,SEA,579,383,170
2021,7,24,AirlineD,4598,DFW,MSP,334,457,662
2022,8,17,AirlineC,5333,SLC,DEN,95,226,546
2022,4,21,AirlineB,9935,LAX,MIA,39,480,72
2021,7,20,AirlineC,8527,DFW,DEN,48,502,549
2022,4,10,AirlineD,9317,DFW,LAS,523,529,63
2021,7,4,AirlineD,6573,PHX,MSP,423,440,81
2021,3,18,AirlineC,6413,ORD,CLT,411,107,364
2023,7,16,AirlineA,2290,SLC,CLT,457,545,205
2023,1,13,AirlineC,2743,IAH,LAS,261,298,107
2021,10,2,AirlineB,7543,PHX,MIA,319,359,144
2022,6,12,AirlineD,5040,JFK,SEA,223,210,708
2022,10,3,AirlineA,5386,LAX,LAS,143,-10,596
2022,1,15,AirlineD,2290,IAH,BOS,-10,450,647
2021,6,13,AirlineE,2489,PHX,DEN,470,72,255
2022,8,17,AirlineC,7201,DFW,LAS,416,176,553
2023,2,27,AirlineE,7227,DFW,BOS,18,274,632
2022,4,20,AirlineA,4899,LAX,LAS,249,38,625
2023,8,14,AirlineB,3287,LAX,BOS,486,277,488
2023,9,11,AirlineB,7304,IAH,BOS,497,434,605
2021,1,21,AirlineE,2139,SLC,SEA,448,244,698
2023,10,28,AirlineD,4946,JFK,SEA,343,443,196
2021,3,24,AirlineC,1188,IAH,LAS,35,178,467
2022,5,21,AirlineB,9751,ATL,MSP,214,86,198
2021,1,8,AirlineC,8123,SLC,MSP,402,7,251
2021,5,5,AirlineA,5010,DFW,SFO,13,467,65
2021,2,11,AirlineE,6168,LAX,MSP,342,62,451
2023,3,8,AirlineA,2403,LAX,BOS,478,62,288
2023,2,25,AirlineC,7482,IAH,SEA,403,193,192
2021,3,7,AirlineC,2876,IAH,BOS,573,27,547
2023,6,23,AirlineA,6155,IAH,CLT,222,254,193
2022,8,23,AirlineC,5386,JFK,MIA,25,215,304
2023,7,10,AirlineC,2163,LAX,SEA,423,367,53
2022,5,10,AirlineA,4119,ATL,BOS,185,134,494
2023,6,26,AirlineD,2424,DFW,DEN,473,452,467
2022,12,14,AirlineA,3045,DFW,DEN,330,400,661
2023,9,24,AirlineC,2827,JFK,MIA,158,424,701
2021,1,13,AirlineB,6107,DFW,LAS,559,54,158
2021,4,17,AirlineB,8787,IAH,LAS,432,459,181
2022,3,22,AirlineE,9179,DFW,SEA,56,394,421
2021,7,13,AirlineE,6977,JFK,MIA,541,596,686
2021,2,15,AirlineB,3677,ORD,MIA,380,409,659
2022,3,3,AirlineC,2291,LAX,MIA,508,415,509
2023,8,4,AirlineB,9423,ATL,SEA,242,264,551
2022,3,14,AirlineB,3705,ATL,BOS,163,398,229
2022,3,1,AirlineC,3677,ATL,CLT,224,348,641
2023,11,15,AirlineA,5506,SLC,SFO,301,377,262
2023,7,23,AirlineD,3167,DFW,DEN,67,540,105
2021,6,8,AirlineD,9830,JFK,MIA,229,486,679
2022,5,13,AirlineC,7224,JFK,SFO,236,143,560
2022,6,15,AirlineB,5557,PHX,MSP,115,236,164
2022,1,5,AirlineD,4598,PHX,MSP,259,239,672
2022,9,11,AirlineD,7201,PHX,CLT,124,539,718
2023,8,2,AirlineB,1711,JFK,SEA,157,6,526
2022,3,23,AirlineD,1188,LAX,CLT,11,422,410
2023,9,16,AirlineD,2743,LAX,SFO,96,327,140
2021,5,6,AirlineB,8749,DFW,SEA,567,-26,583
2023,3,14,AirlineA,2169,SLC,DEN,306,-4,336
2023,11,4,AirlineD,4593,LAX,LAS,127,-1,128
2022,12,22,AirlineD,2827,DFW,MIA,307,14,716
2023,8,11,AirlineE,7224,ATL,MIA,259,300,101
2023,2,18,AirlineE,9348,LAX,MSP,231,152,290
2022,2,1,AirlineB,3045,IAH,MSP,261,127,168
2022,8,26,AirlineD,3167,DFW,SFO,337,68,421
2023,4,16,AirlineD,2489,SLC,BOS,546,584,478
2021,7,26,AirlineC,4470,ORD,MSP,406,65,86
2023,6,15,AirlineB,8397,ORD,CLT,509,507,130
2022,8,14,AirlineA,5315,DFW,SFO,100,277,299
2023,7,10,AirlineE,2535,LAX,MIA,495,80,567
2022,7,4,AirlineD,2049,DFW,LAS,230,569,128
2023,1,4,AirlineD,6925,ORD,MSP,16,55,471
2023,5,11,AirlineE,8953,SLC,CLT,241,319,236
2021,3,3,AirlineE,5010,LAX,MSP,517,-12,50
2022,2,1,AirlineB,5061,SLC,CLT,384,586,543
2022,10,27,AirlineE,8019,IAH,BOS,59,98,183
2021,4,4,AirlineA,2104,ATL,MIA,184,462,709
2021,11,8,AirlineD,6107,ATL,DEN,278,444,196
2022,7,1,AirlineA,7201,ORD,CLT,466,452,65
2022,10,8,AirlineB,1525,IAH,MIA,311,-22,150
2023,12,14,AirlineD,2743,DFW,MIA,469,379,542
2023,10,24,AirlineE,4608,SLC,SEA,32,510,64
2022,10,11,AirlineE,1434,DFW,MSP,454,89,551
2023,11,12,AirlineD,2104,IAH,MIA,135,264,241
2022,6,15,AirlineB,4258,ATL,LAS,586,449,179
2022,12,23,AirlineD,7304,PHX,CLT,135,182,334
2023,12,3,AirlineD,7224,ORD,SEA,130,590,548
2021,7,16,AirlineC,6820,ATL,MIA,-12,337,312
2022,11,6,AirlineB,9317,JFK,DEN,315,410,161
2023,4,4,AirlineE,6977,SLC,BOS,318,333,92
2023,5,5,AirlineE,5342,LAX,MIA,418,438,158
2021,10,20,AirlineA,1949,JFK,DEN,141,90,255
2022,3,24,AirlineC,2160,SLC,CLT,71,127,707
2022,6,27,AirlineB,2674,ATL,CLT,395,-24,296
2022,6,10,AirlineE,2291,LAX,BOS,351,394,414
2023,11,8,AirlineB,7669,IAH,SEA,111,409,468
2022,8,28,AirlineE,1117,PHX,MIA,423,119,55
2023,9,3,AirlineA,3340,PHX,MSP,138,414,107
2022,1,22,AirlineB,8962,JFK,BOS,399,381,611
2022,12,24,AirlineC,3287,JFK,BOS,510,595,195
2023,7,15,AirlineB,2832,SLC,LAS,384,172,353
2021,1,18,AirlineC,2489,ORD,BOS,188,65,568
2023,5,17,AirlineC,4119,ORD,MIA,-2,522,651
2022,4,27,AirlineC,8953,IAH,DEN,31,351,310
2023,9,12,AirlineA,2535,LAX,CLT,275,556,50
2022,6,8,AirlineE,4946,ATL,LAS,276,261,631
2023,3,23,AirlineD,9837,ATL,DEN,305,498,641
2021,6,15,AirlineA,5333,IAH,MSP,53,64,108
2022,3,16,AirlineB,5371,LAX,LAS,508,382,647
2023,9,25,AirlineD,3677,SLC,MSP,420,471,471
2021,3,17,AirlineB,3927,SLC,SFO,495,511,165
2023,4,15,AirlineD,2424,ORD,LAS,91,586,463
2021,2,12,AirlineE,4752,JFK,SFO,90,350,357
2022,5,10,AirlineD,9935,ORD,SFO,573,401,94
2022,5,7,AirlineB,8744,SLC,MIA,95,530,402
2021,1,14,AirlineD,2403,DFW,CLT,315,356,531
2023,10,5,AirlineB,4258,SLC,CLT,429,122,378
2021,10,22,AirlineE,7916,IAH,SEA,374,317,598
2021,11,15,AirlineC,8397,LAX,SFO,-5,555,690
2023,5,18,AirlineA,9479,LAX,SEA,524,560,99
2023,9,7,AirlineD,9317,JFK,DEN,514,154,64
2022,4,8,AirlineE,9797,LAX,LAS,381,573,91
2022,1,11,AirlineD,4150,IAH,MIA,510,294,436
2022,2,4,AirlineA,1319,ORD,BOS,117,157,306
2021,3,10,AirlineD,4608,ORD,MIA,599,303,230
2021,12,2,AirlineC,2489,LAX,LAS,115,392,376
2022,7,27,AirlineA,4582,ATL,SEA,581,570,287
2022,9,25,AirlineE,9085,LAX,BOS,32,295,520
2023,7,3,AirlineD,9935,IAH,SEA,-11,245,612
2023,11,4,AirlineB,2588,ORD,BOS,551,386,501
2021,11,17,AirlineB,6635,PHX,SFO,221,520,478
2023,8,2,AirlineA,8123,DFW,SFO,-30,31,538
2022,10,9,AirlineD,5040,ATL,BOS,16,135,591
2023,2,10,AirlineA,2796,LAX,SFO,539,256,487
2021,10,17,AirlineC,1117,PHX,BOS,433,249,296
2023,6,11,AirlineB,5808,PHX,MIA,106,-28,668
2022,1,1,AirlineB,2040,SLC,MSP,521,53,709
2023,2,18,AirlineA,1344,SLC,DEN,331,355,660
2022,7,6,AirlineA,2674,SLC,LAS,167,425,54
2021,12,1,AirlineC,1117,PHX,SEA,62,598,685
2022,12,8,AirlineB,2743,PHX,MIA,257,474,665
2021,1,7,AirlineD,3547,DFW,CLT,144,535,243
2023,12,19,AirlineE,4946,ORD,DEN,572,101,111
2021,5,19,AirlineB,9837,DFW,SEA,-7,515,674
2022,11,18,AirlineD,2824,IAH,MIA,300,412,461
2022,2,22,AirlineE,3591,SLC,LAS,499,14,274
2021,5,14,AirlineE,5371,PHX,MIA,371,169,387
2021,10,26,AirlineA,3167,ATL,MSP,46,225,246
2021,6,10,AirlineA,6107,LAX,MIA,461,412,69
2023,11,11,AirlineC,2169,LAX,CLT,214,318,100
2022,9,26,AirlineB,9928,SLC,DEN,427,562,172
2021,1,2,AirlineD,4456,LAX,SFO,33,422,101
2022,10,21,AirlineD,1434,LAX,MIA,542,23,346
